,config_id,LoadCase,Moment,C10Nucleus,C01Nucleus,C10Annulus,K1Annulus,K2Annulus,Kappa,K1Circ,K2Circ,K1Rad,K2Rad,FiberAngle,FiberAngleCirc,FiberAngleRad,y_ROM,y_IDP
1734,48,2,0.2,0.46482145357943333,0.8293779703196245,0.9447399435319922,0.38717881917859526,0.46434684341016447,0.904085151495603,0.24845651572570948,0.0473385214114545,0.29145204110818446,0.310586306602768,0.8586977497219289,0.284306594708558,0.85741380420601,0.11426759866700324,0.47563541489278105
1735,49,2,0.2,0.41753343620475564,0.76962290721556,0.9349707759527563,0.009318259345810499,0.02126868869782962,0.9319221158348393,0.2619509354419255,0.6132843838326549,0.0841784980112375,0.298737196871334,0.4160698917276467,0.6964804968432434,0.96809608503103,0.12230543853193675,0.4721578697711282
1736,50,2,0.2,0.8759362728495945,0.8058985809197045,0.8914686149146127,0.6137755589583905,0.5383351836106927,0.9247915344006606,0.164918434228551,0.46598631379486,0.15721736875791248,0.1174938371025035,0.31802240522152003,0.6168019243655367,0.26012966908286295,0.11456992656305595,0.46768360018274074
1738,52,2,0.2,0.41127296357873333,0.30858120456795557,0.537720227394764,0.1681798827315238,0.8556027980485926,0.7482901706367454,0.87525369350497,0.2143521486030745,0.764912841947455,0.2181445672478645,0.12062856991446667,0.7630052523947133,0.90317162768145,0.18079250540559272,0.465866787337202
1739,53,2,0.2,0.8332095850926333,0.2794577564298644,0.12951987869136666,0.44923518734583573,0.03340722749551851,0.28384632802049664,0.60191791562291,0.3033047162887785,0.522283134168435,0.274590939964653,0.48843173310723553,0.5772370985448634,0.40776198181459794,0.2031902805585908,0.5303677297432198
1740,54,2,0.2,0.7425494875021833,0.4087192378090845,0.8109140812922282,0.27492537219842383,0.7468504125110667,0.14894818562184817,0.35473467440586853,0.67560400855702,0.3207432694535395,0.497856310510741,0.602150759364071,0.84457220886114,0.099111972878735,0.09795027319297621,0.5259574252664242
1743,57,2,0.2,0.4312716807045611,0.033534774036482244,0.3440070236182897,0.6987179424962284,0.5441986931630015,0.6019746502095363,0.68881312063163,0.16082864636905148,0.2307393799008505,0.35962398517567146,0.4598968951201666,0.5287092713187701,0.14223564898875699,0.19013955842751434,0.5097597080282131
1744,58,2,0.2,0.7940052707267279,0.3765250948846756,0.13555414069795382,0.4125003228970286,0.5938105086262296,0.3494650734915697,0.49102762062621946,0.11622895128599049,0.9565994490851,0.0098869008116635,0.40972472548434,0.46997868766976003,0.55691474112111,0.2245363681775373,0.5173052120801098
1745,59,2,0.2,0.5544117775280556,0.27134515041104446,0.1511879954482359,0.6709094940697763,0.8086580626666889,0.19850936155323423,0.5608125995703199,0.789711909258205,0.0701186278615925,0.9382848461934499,0.5392062310657022,0.59080360462541,0.9443717441065499,0.11901647301364837,0.5682013069421005
1746,60,2,0.2,0.1880975761758239,0.5516211808503845,0.9082763330668744,0.31677837916890234,0.45156150201842443,0.9151894089427303,0.0831689682566075,0.9457127830990699,0.264518450718938,0.90848183296264,0.9534792561736934,0.38071090614074005,0.1995776220287745,0.12530101261977836,0.47803588244157885
1747,61,2,0.2,0.7513086483311,0.7589168108389955,0.4957531832112949,0.8073884622441834,0.9304736007236741,0.8524083663118333,0.7869067881646149,0.687502751861655,0.43340879375076147,0.5735487442727,0.32981546025682223,0.9268837944829633,0.056504322815072,0.16123623248020189,0.4653119216114179
1748,62,2,0.2,0.9531405823229612,0.21630049790926667,0.6646451971291537,0.47375131559256906,0.38562911300942965,0.8223757126146182,0.93197946516443,0.647492842224255,0.8994553072543949,0.890057320246935,0.6964738752955044,0.07348242603716834,0.69746275803546,0.13622920159218593,0.4697494506569023
1749,63,2,0.2,0.2796686477543872,0.1938125024180378,0.06905485248158127,0.9592167289646379,0.4441301160646149,0.9485600536419,0.63517411690659,0.908307439708015,0.138578863707361,0.16629337186532747,0.8894092750675622,0.158023296026544,0.303320082396717,0.22082105344348163,0.4722077771019718
1751,65,2,0.2,0.8610191424746334,0.6413416903432266,0.37008555688785894,0.8434495542291593,0.8515944682557779,0.245638779800513,0.18189412021214998,0.149095231234044,0.06362666123613349,0.052202058655408994,0.7411881919889244,0.266058740831563,0.47300191326473545,0.08349439685756324,0.5618521705769305
1752,66,2,0.2,0.8258949202704444,0.4835232755709689,0.42039411086902817,0.6381835871714643,0.3197963692604734,0.9762713710371635,0.679054363359385,0.168784175592575,0.390300887245447,0.7809978222550951,0.7674911548756155,0.9140361783840067,0.5032244496157099,0.1685654313171562,0.4610848078387391
1753,67,2,0.2,0.61816826309405,0.9629489820704912,0.6961604106616051,0.22741867717026665,0.7853633043977705,0.3700022329119909,0.05181057800964199,0.38520441225385493,0.23474515606549648,0.10737120247016649,0.4391546737305889,0.17904224681117967,0.5931066976694499,0.13053059070230244,0.5047578455240171
1754,68,2,0.2,0.882816280684089,0.02258724253732891,0.6486022533709307,0.06576849108681382,0.05838292545403184,0.16105125351724062,0.1557191549786705,0.44637066858973345,0.030606673612713,0.5190364507351549,0.8186281888890179,0.6910482418941033,0.97214982093572,0.09048640216446677,0.5333696650425083
1757,71,2,0.2,0.5119355171043223,0.7447117305382912,0.10718143585156666,0.03296543595298169,0.39816949647423333,0.05512144047902788,0.665305905172945,0.7452151410962949,0.616541431691215,0.65328043354302,0.8641792211423156,0.41594470014796336,0.769967287675335,0.1330812548627757,0.552279778024131
1758,72,2,0.2,0.5895433077775944,0.5586565236459756,0.08806488256765,0.8209264209339523,0.8837620801649629,0.8789223284029212,0.2829079378535625,0.988096938074095,0.3800658919535015,0.6918986131342999,0.6442778047720378,0.29739761386117636,0.7845855874374099,0.20392955322087622,0.5069395223385508
1759,73,2,0.2,0.983217675453611,0.36165884437356227,0.5118586516053384,0.760524103897,0.14655355639498224,0.8916057629435302,0.1430806701446205,0.820719179017295,0.69347842711486,0.2392706990028615,0.37165884230022,0.8490968101346568,0.147428190868478,0.15401455396709812,0.46204379786927985
1760,74,2,0.2,0.15293436999245721,0.34907622873214894,0.7170100295979692,0.5130216932518571,0.6792489137375852,0.012479833477521516,0.7337529431554549,0.1044747840909345,0.18440356633763347,0.51012849466902,0.6916009740674445,0.7333301538928767,0.26913296829671196,0.07762842808749784,0.552497090607679
1761,75,2,0.2,0.7767126474545835,0.1301176959635,0.6404848713280666,0.08660481067342618,0.9110284180643482,0.32683696609740603,0.064096818192939,0.404879488429465,0.5613220475724949,0.41456936644349496,0.13300215001458446,0.4879952582410167,0.9471920961570749,0.15333241505459513,0.46674835876232884
1762,76,2,0.2,0.08351821832414613,0.060649104483066686,0.35968036168445383,0.6430924355058404,0.8181757958959037,0.2123921392360094,0.6390845499709249,0.89635053131889,0.78261292838826,0.13591747753866248,0.22391489222747998,0.8859077947397567,0.721661282032445,0.22502058883157972,0.5104494121050949
1763,77,2,0.2,0.7548161599798723,0.6863730514736689,0.05013736921424972,0.3983683630657,0.690971530615563,0.3660840018936606,0.8688601909356399,0.755013919510405,0.011438855136429,0.8232457852951599,0.47036608345983777,0.168788149372002,0.40596618963667297,0.23806631522590296,0.5251866157072792
1765,79,2,0.2,0.44997052744700006,0.5451764367654155,0.05562335523300435,0.09991441492836431,0.12190061683785038,0.5568632402553303,0.34444449580108244,0.8684894537240601,0.6829731349174201,0.088377287573981,0.26319189226933337,0.23512025648702303,0.3903457110776519,0.3516812464181405,0.4493744449721175
1768,82,2,0.2,0.4436722334779611,0.38964368685684225,0.6734809291224307,0.7862305593629808,0.4908822318551792,0.6175520206760575,0.5657036850839899,0.860372318058715,0.659597787393025,0.09947574246192549,0.45161093003983555,0.4345756647411367,0.52362353257996,0.1378757340027773,0.5056551561237815
1769,83,2,0.2,0.05438123012008112,0.46047178473460004,0.6307465225270975,0.46418167971825,0.7944401745377185,0.702187618953503,0.92747979985376,0.803873115304935,0.16196772813369698,0.66133565661983,0.5233817998464333,0.19719801404951734,0.8534498071001199,0.15204235481917244,0.5076390715648659
1771,85,2,0.2,0.5963880382494945,0.24448899563796672,0.16277777869453333,0.2782089009817119,0.37196574500865703,0.022688249304971816,0.6560077044018999,0.14546828327442898,0.8581327038424049,0.83279014615117,0.08362756731513331,0.7823964818575101,0.5620023424551649,0.2673698759549884,0.4626682185434517
1772,87,2,0.2,0.12963977925159778,0.10273718316659113,0.682052196567782,0.3144531108586238,0.8360146278087408,0.8236861679539302,0.823937916339925,0.4156222225134355,0.7381088630766399,0.037712084934143,0.7494049296383022,0.6773738940295567,0.36028533534812646,0.15247123752076325,0.502273753478592
1773,88,2,0.2,0.5179991229482833,0.8421678978455867,0.24753825808471278,0.13649971669970473,0.17499326213183997,0.4076083872601909,0.2234517201575295,0.032168622469941996,0.9931165094083599,0.42408131967999896,0.7180088061842712,0.9422185250302867,0.2813626878346545,0.17054416624755245,0.5250436922687491
1774,90,2,0.2,0.5774514244641723,0.7050283563554156,0.6010757989658307,0.9340416647173904,0.1332868386791978,0.9636850270392302,0.61377379231,0.0953307377297545,0.59331291830882,0.362949614540471,0.7340301960999756,0.09359979780557467,0.518696025977175,0.14555248456173026,0.466610896807435
1775,91,2,0.2,0.526723546628889,0.8628452285326866,0.031734775984253595,0.17699352274227617,0.6069174654771111,0.04385596488228787,0.43410112380238247,0.844046165164035,0.8775144503271249,0.5897218463106999,0.19993285752113113,0.25488063403203165,0.33958262376434445,0.43725861541063243,0.438220565021714
1776,92,2,0.2,0.7100801846930112,0.6742180992099934,0.3641656736935692,0.5579161134984,0.19639109569415036,0.04680283100262394,0.39030393337425345,0.9286233519741249,0.7143960834653699,0.507046459567555,0.8463417475672111,0.22900854373133134,0.222361890890202,0.09369993754188054,0.553845971429172
1778,94,2,0.2,0.2698638942939122,0.04766274186586,0.8178052296759615,0.3687171963325619,0.02780590239943037,0.17322543825038908,0.271863308021009,0.919174244224125,0.37200906079636,0.7325212195252399,0.8711917910937711,0.7060647720850267,0.8996636346703499,0.0710084301030719,0.5425604897174459
1780,96,2,0.2,0.302875662525995,0.9450361083680533,0.46729979779200254,0.8859860871882379,0.8672790385770592,0.6101223129887212,0.465892865082419,0.6337384503621399,0.3932075976657275,0.6804216504223,0.2025698666663178,0.4136477985414367,0.6503345566198,0.1801027820198827,0.4695414679763376
1782,98,2,0.2,0.8511155916220555,0.9921316092571467,0.7587969428747308,0.252966234380281,0.2863837214515778,0.7792121357215727,0.21359011820510798,0.7969080351579649,0.613505900107205,0.2542425560522425,0.5599095078995977,0.46446468364241,0.17065922193164598,0.12768912572480218,0.46882449899494727
1783,99,2,0.2,0.9058907702471223,0.14357365729558,0.709493930933977,0.6562548259306167,0.07776303072176742,0.7441295615747242,0.3234004028700105,0.500354423807485,0.33086753916156497,0.150404476301398,0.5120624096613222,0.5749492164461834,0.159517348970753,0.1299313740261643,0.4744557861968468
1785,101,2,0.2,0.2105623197317906,0.8966184931265533,0.08084048751965588,0.6465145977446857,0.0017494838960133386,0.16204330542161302,0.9507127046472149,0.49922602935434146,0.1738515350766805,0.2249831911325175,0.9594202308199132,0.139264204087259,0.20104055933116047,0.11315891944763162,0.5689858192473415
1786,103,2,0.2,0.6294976388143723,0.04549420600851111,0.23901039422543333,0.40175294321101906,0.3357416868390466,0.5293885835246424,0.580199162482405,0.268153449834263,0.247980757324655,0.20864251540531098,0.17738947657453336,0.8618584442048266,0.700960738493805,0.24536184477628945,0.46306903666653065
1787,104,2,0.2,0.6807531456837779,0.5017740431704534,0.5669405128806411,0.14053640792058333,0.552582757375237,0.6471306192134666,0.54071646978304,0.78393262933534,0.450834830385408,0.523251613119205,0.33366288684804446,0.9325468626691767,0.5520149154197149,0.16086890706184054,0.4680766346262731
1789,106,2,0.2,0.5376725629562666,0.8895051668322245,0.31076370261023073,0.15419123222915954,0.7450955543731852,0.865200618422412,0.0131642676758585,0.29813422582592497,0.493581397825951,0.5840500304669649,0.10977431016147554,0.4451913569568233,0.89208271871881,0.20984184528063055,0.4518983010514673
1790,107,2,0.2,0.93838112889375,0.8549060263285556,0.20517119834884873,0.04511820770616049,0.7190843516198148,0.7559157134749455,0.4840232294912535,0.949332331361065,0.46431205702518397,0.3782974049581735,0.7817989264633289,0.8780433374166468,0.54513720481009,0.20032611502640488,0.5048318076410431
1791,108,2,0.2,0.10212493011079557,0.9958454252725489,0.7625007372561948,0.971676313911938,0.9966155088838519,0.5429903862269394,0.4957848423525685,0.8260816423315449,0.087863880948738,0.9207722932852249,0.036579597212935785,0.7485734202251667,0.2346703168958095,0.14505269059061568,0.4712477644697326
1792,109,2,0.2,0.06467019731566555,0.7348495212015712,0.2869320428940846,0.9443820347690977,0.6965866812777111,0.4363286566111848,0.77761912392457,0.219438638875443,0.039096630373197494,0.819282646856245,0.7122787139862355,0.2704952998691927,0.084687883610376,0.13994793236233513,0.5452529753666407
1793,110,2,0.2,0.33527939943127394,0.07849224627902891,0.7999125804539974,0.895381483868638,0.5632763607780474,0.7165661083091606,0.7210888110618849,0.7015712520283399,0.72073424919693,0.4544529069573845,0.16498372515745557,0.9461577575651433,0.6414977084838699,0.13930239922694163,0.47503238769961253
1794,111,2,0.2,0.928949757761589,0.2471709855684334,0.8423770678504436,0.20833024951857856,0.6321186411510371,0.5911372244670848,0.760361478739945,0.510719145829895,0.31022079831712746,0.07546172959209699,0.1051576138650089,0.91847825386026,0.82040887965535,0.1247014686690446,0.46762727805775955
1795,112,2,0.2,0.28995894903823055,0.8835260126155268,0.45034266439976917,0.5323403217278048,0.7310889490477629,0.06939902669855576,0.7050478817005899,0.291893301030335,0.36846855094446146,0.929618799674885,0.01790306357396112,0.33507558453016334,0.91525973849175,0.17947998586911487,0.46914298222658124
1796,113,2,0.2,0.5625522896782555,0.6342600719615556,0.32100555784935125,0.9028511737666595,0.9763623291211555,0.7918574912924091,0.8993341028111549,0.488086684942675,0.49003757380908497,0.267545534833737,0.009878138936566888,0.8298478517984267,0.4893149564756935,0.20231907832229407,0.4568087162906296
1797,114,2,0.2,0.47181864153868897,0.97460589860736,0.4287656991174179,0.5522459838113263,0.07212105247667777,0.3806412366546969,0.4526473138890075,0.9367919893946399,0.059184317023983996,0.867479012155265,0.34557804868862885,0.7559275449266066,0.023954344961955,0.18126375872835865,0.4749581903774904
1799,116,2,0.2,0.3301983013974683,0.9131027530929356,0.5056170745240154,0.7664664721101405,0.14492959278315778,0.1398960687366215,0.29307091272522096,0.3981506149176765,0.455733331168814,0.1453334497312765,0.2339750073770556,0.9738056796283,0.76578800593292,0.16054947381478407,0.51646405355773
1800,117,2,0.2,0.17888806000188556,0.9175273084814778,0.7888146079147077,0.9861429164687094,0.7745277272000962,0.09356547548955939,0.238432170952328,0.31085354386993946,0.111256121260757,0.9774971149416048,0.5730487163449133,0.02185869157769467,0.06696521389226699,0.10579847103254622,0.5345433172629915
1801,118,2,0.2,0.80638960913535,0.3382290373648733,0.37699129189405384,0.18830085897153573,0.3823637558157148,0.6653727010809394,0.36362501778069695,0.17307408998781199,0.8179139442637099,0.039673816760433994,0.9015898290806601,0.7752187831201534,0.58023953865114,0.15094297584430297,0.5141889304162142
1802,119,2,0.2,0.42878457658647223,0.5219668142903577,0.9482315451546256,0.3768319534916405,0.33852895538297406,0.6964735908618878,0.287786314003937,0.1359552882976955,0.0326877664982905,0.8587539571205249,0.9827093630033801,0.5593585373134801,0.834571818050835,0.09622838629942432,0.5147561465842555
1804,121,2,0.2,0.9117786710150056,0.1775837328422667,0.23586625121193588,0.9794127281295213,0.5105684074679778,0.683397788368306,0.508959721704655,0.3196797498516285,0.8025142983363549,0.15704649394116948,0.6332071063729422,0.2904833137557747,0.826261450331375,0.1607820239616811,0.5214509410564171
